Record,Player,Team,Pos,Games,AtBats,Runs,Hits,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,HBP,SAC,SF,TB
1,"Abreu, J",CWS,1B,145,556,80,176,35,2,36,107,51,131,3,1,0.317,0.383,0.581,0.964,11,0,4,323
2,"Ackley, D",SEA,LF,143,502,64,123,27,4,14,65,32,90,8,4,0.245,0.293,0.398,0.692,3,3,2,200
3,"Adams, M",STL,1B,142,527,55,152,34,5,15,68,26,114,3,2,0.288,0.321,0.457,0.779,3,0,7,241
4,"Altuve, J",HOU,2B,158,660,85,225,47,3,7,59,36,53,56,9,0.341,0.377,0.453,0.83,5,1,5,299
5,"Andrus, E",TEX,SS,157,619,72,163,35,1,2,41,46,96,27,15,0.263,0.314,0.333,0.647,3,9,7,206
6,"Aoki, N",KC,RF,132,491,63,140,22,6,1,43,43,49,17,8,0.285,0.349,0.36,0.71,6,8,1,177
7,"Bautista, J",TOR,RF,155,553,101,158,27,0,35,103,104,96,6,2,0.286,0.403,0.524,0.928,9,1,6,290
8,"Beltre, A",TEX,3B,148,549,79,178,33,1,19,77,57,74,1,1,0.324,0.388,0.492,0.879,3,0,5,270
9,"Blackmon, C",COL,RF,154,593,82,171,27,3,19,72,31,96,28,10,0.288,0.335,0.44,0.775,13,6,5,261
10,"Bogaerts, X",BOS,SS,144,538,60,129,28,1,12,46,39,138,2,3,0.24,0.297,0.362,0.66,8,2,7,195
11,"Brantley, M",CLE,LF,156,611,94,200,45,2,20,97,52,56,23,1,0.327,0.385,0.506,0.89,8,0,5,309
12,"Braun, R",MIL,RF,135,530,68,141,30,6,19,81,41,113,11,5,0.266,0.324,0.453,0.777,6,0,3,240
13,"Brown, D",PHI,LF,144,473,47,111,22,1,10,63,34,91,7,1,0.235,0.285,0.349,0.634,1,0,4,165
14,"Bruce, J",CIN,RF,137,493,71,107,21,1,18,66,44,149,12,3,0.217,0.281,0.373,0.654,2,1,5,184
15,"Butler, B",KC,DH,151,549,57,149,32,0,9,66,41,96,0,0,0.271,0.323,0.379,0.702,5,0,8,208
16,"Byrd, M",PHI,RF,154,591,71,156,28,2,25,85,35,185,3,2,0.264,0.312,0.445,0.757,8,0,3,263
17,"Cabrera, A",WSH,2B,146,553,74,133,31,4,14,61,49,108,10,2,0.241,0.307,0.387,0.694,7,1,6,214
18,"Cabrera, M",DET,1B,159,611,101,191,52,1,25,109,60,117,1,1,0.313,0.371,0.524,0.895,3,0,11,320
