Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,45,45,35.6,10.3,22.1,0.468,3.6,10.3,0.352,6.7,11.8,0.569,0.55,8.2,10.7,0.77,0.8,7,7.8,8.6,1.4,0.5,4.1,2.5,32.5,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,49,49,33.3,10.9,19.7,0.554,1.8,4.6,0.39,9.1,15.1,0.603,0.599,8.2,9.2,0.892,0.6,3.9,4.4,6.4,1.3,0.8,2.1,2.1,31.8,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,49,49,35.6,10.2,20.7,0.493,3.4,8.6,0.4,6.8,12.2,0.559,0.576,5.7,7.2,0.789,0.7,4.6,5.3,3.7,1.4,0.8,2.8,1.8,29.6,AS,edwaran01
4,Jaylen Brown,29,BOS,SF,51,51,34.3,10.9,22.6,0.481,2.1,6,0.344,8.8,16.6,0.531,0.527,5.4,7,0.776,1.1,5.9,7,4.9,1,0.4,3.6,2.8,29.2,AS,brownja02
5,Tyrese Maxey,25,PHI,PG,56,56,38.4,10.1,21.7,0.467,3.3,8.9,0.375,6.8,12.8,0.531,0.544,5.5,6.2,0.89,0.3,3.8,4.1,6.7,2,0.8,2.5,2.3,29.1,AS,maxeyty01
6,Nikola Jokić,30,DEN,C,42,42,34.3,10.1,17.2,0.584,2,4.6,0.421,8.1,12.6,0.645,0.641,6.7,8,0.836,3.1,9.4,12.5,10.5,1.4,0.8,3.7,2.7,28.8,AS,jokicni01
7,Donovan Mitchell,29,CLE,SG,55,55,33.5,9.9,20.6,0.483,3.5,9.4,0.369,6.5,11.2,0.578,0.567,5.2,6.1,0.852,0.7,3.7,4.5,5.8,1.6,0.3,3.1,2.4,28.5,AS,mitchdo01
8,Giannis Antetokounmpo,31,MIL,PF,30,30,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10,15,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10,5.6,0.9,0.7,3.3,2.6,28,AS,antetgi01
9,Kawhi Leonard,34,LAC,SF,44,44,32.8,9.8,19.8,0.494,2.7,7,0.381,7.1,12.8,0.556,0.561,5.8,6.5,0.905,1,5.3,6.4,3.7,2,0.5,2.2,1.3,28,AS,leonaka01
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,0.468,4.5,11.5,0.391,4.4,7.6,0.584,0.585,4.9,5.2,0.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS,curryst01
